EmpID,Name,Department,Salary
1,Nguyen Dung 1,Legal,88884
2,Nguyen Giang 2,IT,56918
3,Ho Dung 3,Sales,47502
4,Dang Chi 4,IT,58032
5,Dang An 5,HR,72209
6,Nguyen Dung 6,IT,82913
7,Pham Binh 7,HR,87458
8,Bui Ha 8,Marketing,50756
9,Nguyen Giang 9,Sales,37727
10,Le Dung 10,HR,81164
11,Ho Giang 11,HR,32737
12,Vu Em 12,Legal,76935
13,Bui Dung 13,Marketing,24440
14,Do Ha 14,Finance,24410
15,Pham Mai 15,IT,86003
16,Bui Mai 16,Engineering,86601
17,Hoang Em 17,Legal,69719
18,Vu Mai 18,Sales,27501
19,Pham Mai 19,IT,93733
20,Dang An 20,Sales,52093
21,Nguyen Em 21,Legal,37142
22,Bui Dung 22,Finance,36744
23,Do Mai 23,HR,57696
24,Pham Giang 24,Sales,64823
25,Ho Ha 25,IT,73328
26,Nguyen An 26,IT,70029
27,Pham Binh 27,Legal,83246
28,Vu Chi 28,Engineering,88104
29,Bui Binh 29,Engineering,52670
30,Dang Giang 30,Sales,55679
31,Dang Long 31,IT,75323
32,Le Chi 32,HR,37923
33,Pham Chi 33,IT,98172
34,Do Chi 34,Legal,39168
35,Vu Chi 35,Legal,36433
36,Pham Kien 36,Engineering,32923
37,Hoang Dung 37,HR,97093
38,Bui Binh 38,Engineering,78035
39,Tran Giang 39,Engineering,30299
40,Nguyen Binh 40,Legal,49441
41,Hoang Ha 41,Engineering,70610
42,Vu An 42,Legal,45529
43,Ho Binh 43,Finance,94434
44,Tran Long 44,IT,91881
45,Le Ha 45,Finance,25342
46,Dang Mai 46,HR,62999
47,Hoang Giang 47,HR,41745
48,Le Binh 48,Sales,52293
49,Dang Long 49,HR,29379
50,Ho Dung 50,Sales,83374
51,Ho Long 51,Engineering,27188
52,Ho Kien 52,Marketing,45991
53,Hoang An 53,Sales,53693
54,Do Long 54,HR,62305
55,Ho Binh 55,Marketing,70323
56,Vu Binh 56,Legal,87843
57,Pham Dung 57,Marketing,99493
58,Hoang Kien 58,Sales,86417
59,Do Kien 59,Legal,53659
60,Bui An 60,HR,45290
